Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory
La Tiare du Pape Châteauneuf-du-Pape Rouge,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,45.0,2015,red
Spätburgunder Trocken,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,21.4,2015,red
El Chocolatero Cariñena,Spain,Cariñena,San Valero,3.2,106,7.75,2014,red
Hermitage La Chapelle Rouge,France,Hermitage,Paul Jaboulet Aîné,4.3,106,249.95,2016,red
Mas Oliveras Tempranillo,Spain,Catalunya,Ramón Roqueta,3.2,106,6.5,2018,red
Pannobile,Austria,Burgenland,Pittnauer,3.9,106,22.13,2015,red
Tempus,Italy,Veneto,Stefano Accordini,3.8,106,10.42,2018,red
Le Clos des Fées (Hervé Bizeul),France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,52.53,2013,red
Tío Martín Crianza,Spain,Rioja,D. Mateos,3.8,106,15.69,2016,red
Vigna Del Mandorlo Dolcetto d'Alba,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,11.5,2017,red
Barolo Bussia,Italy,Barolo,Prunotto,4.1,106,69.0,2015,red
Tinto,Spain,Rioja,Gran Familia,3.5,106,5.8,2015,red
Finca Cuesta Clara Raro Reserva,Spain,Rioja,Campillo,4.2,106,39.99,2015,red
Fronsac,France,Fronsac,Château la Vieille Cure,4.0,106,39.95,2005,red
Ventoux,France,Ventoux,Xavier Vignon,3.6,106,8.2,2016,red
Hussonet Cabernet Sauvignon Gran Reserva,Chile,Maipo Valley,Haras de Pirque,3.7,1060,15.95,2015,red
Salice Salentino Riserva,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,8.49,2016,red
Chianti Classico,Italy,Chianti Classico,Isole e Olena,3.9,1063,20.86,2016,red
Joseph Meczan Pinot Nero - Blauburgunder Alto Adige,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,13.48,2016,red
Brunello di Montalcino,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,36.63,2014,red
Cabernet Sauvignon,United States,Columbia Valley,Columbia Winery,3.8,1065,17.75,2015,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Barton,4.4,1066,133.06,2009,red
Pessac-Léognan (Grand Cru Classé de Graves),France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,1066,169.95,2005,red
Cabernet Sauvignon,Mexico,Valle de Guadalupe,L. A. Cetto,3.4,1066,8.65,2013,red
Malbec,Argentina,Mendoza,Catena,4.1,10676,13.5,2017,red
Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Lafon-Rochet,4.2,1069,75.98,2009,red
Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella Classico,Bolla,4.1,1069,28.99,2014,red
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,107,130.97,2014,red
Margaux (Grand Cru Classé),France,Margaux,Château Lascombes,4.0,107,86.76,2017,red
Pauillac (Grand Cru Classé),France,Pauillac,Château d'Armailhac,3.9,107,52.64,2017,red
Figure Libre Freestyle Rouge,France,Pays d'Oc,Gayda,3.7,107,11.45,2018,red
Pinot Noir,France,Pays d'Oc,La Forge Estate,3.6,107,7.27,2018,red
Tinto,Spain,Alicante,Vergel,3.6,107,7.35,2018,red
Les Coteaux Cabernet Sauvignon,South Africa,Wellington,Mont du Toit,3.8,107,11.5,2015,red
Mayro Montepulciano d'Abruzzo,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,107,7.75,2015,red
Barbera d'Alba,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,107,17.0,2018,red
Blauer Spätburgunder,Germany,Baden,Ziereisen,3.7,107,11.31,2015,red
Promontory,United States,Napa Valley,Promontory,4.7,107,721.34,2013,red
Tempranillo - Merlot,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,107,13.95,2015,red
Sankt Laurent,Austria,Burgenland,Umathum,3.6,107,13.2,2017,red
Gigondas,France,Gigondas,M. Chapoutier,3.9,107,24.8,2017,red
Driopi Classic Agiorgitiko Nemea,Greece,Nemea,Κτημα Τσελεπου (Ktima Tselepos),3.7,107,11.5,2017,red
Magna Malbec,Argentina,San Juan,Callia,3.5,107,8.95,2018,red
Nero,Italy,Salento,Conti Zecca,4.0,107,25.12,2010,red
Salice Salentino,Italy,Salice Salentino,Epicuro,3.6,107,6.25,2017,red
Valpolicella Superiore,Italy,Valpolicella,Rocca Sveva,3.7,107,15.84,2014,red
Gevrey-Chambertin,France,Gevrey-Chambertin,Chanson,4.1,107,50.9,2015,red
Pago de los Balagueses Garnacha Tintorera - Merlot,Spain,Valencia,Vegalfaro,3.8,107,16.9,2014,red
Barolo Liste,Italy,Barolo,Borgogno,4.2,107,80.01,2013,red
Adrianna Vineyard Fortuna Terrae Malbec,Argentina,Mendoza,Catena Zapata,4.6,107,89.9,2016,red
Malbec de Purcari,Moldova,South Eastern,Château Purcari,4.1,107,11.98,2018,red
Esprit de Granit Saint-Joseph,France,Saint-Joseph,Cave de Tain,4.0,107,27.93,2012,red
Bachgart Blauburgunder,Italy,Südtirol - Alto Adige,Klaus Lentsch,3.8,107,19.9,2016,red
Crianza,Spain,Rioja,Campo Viejo,3.5,1070,7.99,2016,red
Margaux de Brane (Margaux de Henri Lurton),France,Margaux,Château Brane-Cantenac,3.8,1070,34.2,2014,red
Shiraz,South Africa,Swartland,Allesverloren,3.6,1070,10.9,2017,red
Rubesco Rosso di Torgiano,Italy,Torgiano,Lungarotti,3.7,1071,9.8,2016,red
Yamhill Cuvée Pinot Noir,United States,Willamette Valley,Domaine Serene,4.3,1071,59.0,2014,red
Gran Enemigo,Argentina,Mendoza,El Enemigo,4.5,1072,62.39,2015,red
Macán Clásico,Spain,Rioja,Benjamin de Rothschild - Vega Sicilia,4.3,1073,48.54,2015,red
Zinfandel,United States,North Coast,Ghost Pines,3.9,1075,17.29,2016,red
Reserve Malbec,Argentina,Tupungato,Sophenia,3.8,1076,13.09,2016,red
Saint-Estèphe,France,Saint-Estèphe,Château de Pez,3.9,1077,36.9,2011,red
Rosso di Montalcino Leopoldo Franceschi,Italy,Rosso di Montalcino,Tenuta Il Poggione,3.9,1077,21.34,2014,red
Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Lafon-Rochet,4.1,1077,79.95,2005,red
Diamond Collection Zinfandel (Red Label),United States,Napa Valley,Francis Ford Coppola,3.9,1078,21.39,2016,red
Overture,United States,Napa Valley,Opus One,4.4,10799,154.99,2025,red
Nèprica Cabernet Sauvignon,Italy,Puglia,Tormaresca,3.5,108,8.33,2018,red
Veneto Rosso del Bepi,Italy,Veneto,Quintarelli Giuseppe,4.4,108,115.92,2010,red
Taurasi,Italy,Taurasi,Feudi di San Gregorio,4.1,108,17.45,2015,red
Tributo Carmenère,Chile,Colchagua Valley,Caliterra,3.7,108,9.64,2018,red
Lalande-de-Pomerol,France,Lalande-de-Pomerol,Château Les Hauts-Conseillants,4.0,108,20.37,2014,red
